ano_eleicao;sigla_uf;nome_municipio;descricao_cargo;num_turno;numero_zona;sigla_partido;nome_candidato;nome_urna_candidato;numero_cand;desc_sit_cand_superior;desc_sit_candidato;desc_sit_cand_tot;total_votos
2004;SP;ITARARE;PREFEITO;1;57;PFL;LUIZ CESAR PERUCIO;CESAR PERUCIO;25;;DEFERIDO;NÃO ELEITO;9861
2004;SP;ITARARE;PREFEITO;1;57;PT;ANEOR PERES GUSMÃO;ANEOR;13;;DEFERIDO;NÃO ELEITO;3009
2004;SP;ITARARE;PREFEITO;1;57;PTB;DELIO SIMÕES;DELIO SIMÕES;14;;DEFERIDO;NÃO ELEITO;1657
2004;SP;ITARARE;PREFEITO;1;57;PMN;EDICLEI COSTA LUZ;EDICLEI COSTA LUZ;33;;DEFERIDO;NÃO ELEITO;464
2004;SP;ITARIRI;PREFEITO;1;295;PP;DANIEL JOAQUIM SILVA;DANIEL SILVA;11;;DEFERIDO;ELEITO;3550
2004;SP;ITARIRI;PREFEITO;1;295;PFL;JOSE NETO FERNANDES;NETO;25;;DEFERIDO;NÃO ELEITO;2228
2004;SP;ITARIRI;PREFEITO;1;295;PSB;CARLOS EDUARDO DIEGUES CUGLER;EDUARDO CUGLER;40;;DEFERIDO;NÃO ELEITO;449
2004;SP;ITATIBA;PREFEITO;1;58;PMDB;JOSÉ ROBERTO FUMACH;FUMACH;15;;DEFERIDO;ELEITO;13685
2004;SP;ITATIBA;PREFEITO;1;58;PPS;MARINA BREDARIOL ALMEIDA;MARINA;23;;DEFERIDO;NÃO ELEITO;12873
2004;SP;ITATIBA;PREFEITO;1;58;PTB;ADILSON FRANCO PENTEADO;ADILSON CAREQUINHA;14;;DEFERIDO;NÃO ELEITO;10706
2004;SP;ITATIBA;PREFEITO;1;58;PSDB;JOÃO GUALBERTO FATTORI;JOÃO FATTORI;45;;DEFERIDO;NÃO ELEITO;8577
2004;SP;ITATINGA;PREFEITO;1;26;PSDB;ARISTEU PEDROSO DE ALMEIDA;ARISTEU;45;;DEFERIDO;ELEITO;5027
2004;SP;ITATINGA;PREFEITO;1;26;PTB;JOÃO CARLOS PELLISON;CACÁ;14;;DEFERIDO;NÃO ELEITO;4227
2004;SP;ITIRAPINA;PREFEITO;1;245;PSDB;ARNOLDO LUIZ DE MORAES;ARNOLDO;45;;DEFERIDO;ELEITO;3482
2004;SP;ITIRAPINA;PREFEITO;1;245;PMDB;JOSÉ MARIA CANDIDO;ZE MARIA;15;;DEFERIDO;NÃO ELEITO;3275
2004;SP;ITIRAPUA;PREFEITO;1;85;PMDB;MARCOS HENRIQUE ALVES;MARCÃO E SEBASTIÃO;15;;DEFERIDO;ELEITO;1944
2004;SP;ITIRAPUA;PREFEITO;1;85;PPS;LUIZ CARLOS CARNEIRO;LUIZINHO CARNEIRO;23;;DEFERIDO;NÃO ELEITO;1334
2004;SP;ITIRAPUA;PREFEITO;1;85;PP;EXPEDITO ANTONIO DE MELLO;EXPEDITO;11;;DEFERIDO;NÃO ELEITO;292
2004;SP;ITOBI;PREFEITO;1;39;PMDB;TADEU DOS SANTOS;TADEU DOS SANTOS;15;;DEFERIDO;ELEITO;1863
2004;SP;ITOBI;PREFEITO;1;39;PT;ALEXANDRE TORIBIO;LE TORIBIO;13;;DEFERIDO;NÃO ELEITO;1360
2004;SP;ITOBI;PREFEITO;1;39;PSDB;PAULO SÉRGIO DOS SANTOS;PAULÃO;45;;DEFERIDO;NÃO ELEITO;1071
2004;SP;ITOBI;PREFEITO;1;39;PP;CARLOS WILSON URBANO;URECA;11;;DEFERIDO;NÃO ELEITO;394
2004;SP;ITU;PREFEITO;1;59;PV;HERCULANO CASTILHO PASSOS JUNIOR;HERCULANO JUNIOR;43;;DEFERIDO;ELEITO;33626
